VALUE.OFFSET,VALUE.SPEED,VALUE.TRACKID,VALUE.TRACKPOS,VALUE.BATTERY,VALUE.LAP,VALUE.RANK,VALUE.USER
654321,392,33,2,4109,1,0,0
654321,378,18,4,4128,1,0,0
654321,407,18,5,4125,1,0,0
654321,385,17,4,4114,1,0,0
654321,396,17,5,4138,1,0,0
654321,405,40,41,4124,1,0,0
654321,416,40,40,4111,1,0,0
-50,382,40,39,4103,1,0,0
-50,387,17,4,4099,1,1,0
-50,403,17,5,4090,1,1,0
-50,384,20,4,4086,1,1,0
-50,397,20,5,4096,1,1,0
-50,381,34,4,4087,1,1,0
-50,390,34,5,4085,1,1,0
-50,395,33,2,4081,2,1,0
-50,376,18,4,4081,2,1,0
-50,392,18,5,4083,2,1,0
-50,395,17,4,4087,2,1,0
-50,394,17,5,4081,2,1,0
-50,398,40,41,4090,2,1,0
-50,393,40,40,4083,2,1,0
-50,393,40,39,4081,2,1,0
-50,386,17,4,4079,2,1,0
-50,416,17,5,4076,2,1,0
-50,385,20,4,4086,2,1,0
-50,402,20,5,4116,2,1,0
-50,368,34,4,4107,2,1,0
-50,403,34,5,4097,2,1,0
-50,396,33,2,4092,3,1,0
-67.47200012207031,616,17,0,4090,3,1,0
-67.47200012207031,600,17,1,4067,3,1,0
-67.47200012207031,610,40,47,4067,3,1,0
-67.47200012207031,609,40,46,4067,3,1,0
-67.47200012207031,593,40,45,4066,3,1,0
-67.47200012207031,605,17,0,4067,3,1,0
-67.47200012207031,573,17,1,4066,3,1,0
-67.47200012207031,582,20,0,4065,3,1,0
-67.47200012207031,590,20,1,4059,3,1,0
-67.47200012207031,597,34,0,4060,3,1,0
null,null,null,null,3687,0,0,0
-67.47200012207031,418,34,8,4012,0,0,0
654321,398,34,24,4112,0,0,0
-67.47200012207031,399,20,9,4004,0,0,0
654321,387,20,28,4100,0,0,0
-67.47200012207031,379,20,8,4004,0,0,0
654321,412,20,27,4191,0,0,0
654321,404,20,26,4166,0,0,0
-67.47200012207031,381,17,9,4061,0,0,0
654321,382,17,28,4176,0,0,0
-67.47200012207031,412,17,8,4041,0,0,0
654321,456,17,30,4107,0,0,0
-67.47200012207031,406,18,12,4002,0,0,0
654321,415,17,29,4104,0,0,0
654321,402,18,31,4099,0,0,0
-67.47200012207031,390,33,6,3988,1,0,0
654321,415,18,30,4105,0,0,0
-67.47200012207031,398,34,13,3988,1,0,0
654321,393,18,29,4099,0,0,0
-67.47200012207031,398,34,12,3987,1,0,0
654321,383,33,13,4093,1,0,0
-67.47200012207031,394,20,13,3986,1,0,0
654321,392,34,27,4091,1,0,0
-67.47200012207031,379,20,12,3987,1,0,0
654321,433,34,26,4108,1,0,0
-67.47200012207031,370,17,13,3985,1,0,0
654321,424,20,31,4102,1,0,0
-67.47200012207031,403,17,12,3995,1,0,0
-67.47200012207031,394,40,27,4018,1,0,0
-67.47200012207031,403,40,28,4009,1,0,0
654321,439,33,0,4091,1,0,0
654321,381,20,37,4064,1,0,0
654321,382,20,36,4070,1,0,0
654321,397,20,35,4130,1,0,0
-68,412,33,0,4025,1,0,0
-68,399,20,37,4008,1,0,0
-68,384,20,36,4009,1,0,0
-68,403,20,35,4003,1,0,0
-68,383,17,37,3997,1,0,0
-68,385,17,36,3993,1,0,0
-68,384,39,47,3978,1,0,0
-68,407,17,35,3987,1,0,0
-68,403,39,45,3980,1,0,0
-68,406,39,46,3977,1,0,0
-68,398,23,37,3977,1,1,0
-68,386,23,36,4037,1,1,0
-68,387,23,35,4021,1,1,0
-68,369,18,37,4007,1,1,0
-68,387,18,36,4040,1,1,0
-68,402,18,35,4029,1,1,0
-68,399,34,0,4008,1,1,0
-68,399,34,1,3992,1,1,0
-68,411,33,0,3985,2,1,0
-68,622,20,37,3979,2,1,0
-68,579,20,36,3970,2,1,0
-68,603,20,35,4038,2,1,0
-68,599,17,37,4021,2,1,0
-68,606,17,36,4009,2,1,0
-68,627,17,35,3997,2,1,0
-68,614,39,47,3985,2,1,0
-68,630,39,46,4021,2,1,0
-68,617,39,45,4007,2,1,0
-68,569,23,37,3998,2,1,0
-68,602,23,36,3990,2,1,0
-68,534,23,35,3982,2,1,0
-68,572,18,35,3961,2,1,0
-68,591,18,36,3965,2,1,0
-68,624,18,37,3972,2,1,0
-68,624,34,0,3958,2,1,0
null,null,null,null,3842,0,0,0
-64.01200103759766,524,20,34,3996,2,1,7
-64.01200103759766,501,20,33,3988,2,1,7
654321,395,33,1,4176,1,0,0
654321,370,20,34,4164,1,0,0
654321,407,20,33,4165,1,0,0
654321,405,20,32,4199,1,0,0
654321,384,17,34,4185,1,0,0
654321,412,17,33,4173,1,0,0
654321,414,17,32,4172,1,0,0
654321,392,39,44,4228,1,0,0
654321,394,39,43,4205,1,0,0
-59,400,39,42,4192,1,0,0
-59,393,23,34,4183,1,1,0
-59,378,23,33,4168,1,1,0
-59,392,23,32,4164,1,1,0
-59,362,18,34,4219,1,1,0
-59,403,18,33,4200,1,1,0
-59,389,18,32,4212,1,1,0
-59,375,34,2,4203,1,1,0
-59,383,34,3,4227,1,1,0
-59,387,33,1,4208,2,1,0
-59,379,20,34,4190,2,1,0
-59,406,20,33,4177,2,1,0
-59,400,20,32,4168,2,1,0
-59,395,17,34,4161,2,1,0
-59,399,17,33,4152,2,1,0
-59,414,17,32,4149,2,1,0
-59,394,39,44,4144,2,1,0
-59,404,39,43,4142,2,1,0
-59,401,39,42,4138,2,1,0
-59,387,23,34,4162,2,1,0
-59,373,23,33,4151,2,1,0
-59,383,23,32,4146,2,1,0
-59,381,18,34,4144,2,1,0
-59,399,18,33,4154,2,1,0
-59,398,34,2,4165,2,1,0
-59,388,18,32,4173,2,1,0
-67.40000152587891,602,20,36,4155,3,1,0
-59,414,34,3,4157,2,1,0
-59,411,33,1,4161,3,1,0
-67.40000152587891,587,20,35,4141,3,1,0
-67.40000152587891,584,17,37,4148,3,1,0
-67.40000152587891,624,17,35,4143,3,1,0
-67.40000152587891,604,17,36,4145,3,1,0
-67.40000152587891,600,39,47,4140,3,1,0
-67.40000152587891,585,39,46,4140,3,1,0
-67.40000152587891,585,39,45,4139,3,1,0
-67.40000152587891,584,23,37,4137,3,1,0
-67.40000152587891,598,23,36,4143,3,1,0
-67.40000152587891,604,18,37,4174,3,1,0
-67.40000152587891,591,18,36,4166,3,1,0
-67.40000152587891,583,18,35,4159,3,1,0
-67.40000152587891,598,34,0,4151,3,1,0
null,null,null,null,4129,0,0,0
-67.40000152587891,602,23,35,4138,3,1,0
-67.40000152587891,521,20,37,4140,3,1,1
-67.40000152587891,539,20,36,4217,3,1,1
-67.40000152587891,513,20,35,4205,3,1,1
-67.40000152587891,497,17,37,4191,3,1,1
-67.40000152587891,529,17,36,4175,3,1,1
-67.40000152587891,530,17,35,4167,3,1,1
-67.40000152587891,532,39,47,4158,3,1,1
-67.40000152587891,533,39,46,4186,3,1,1
-67.40000152587891,509,39,45,4175,3,1,1
-65.24400329589844,720,18,34,4165,3,1,1
-65.24400329589844,707,18,33,4141,3,1,1
-65.24400329589844,699,18,32,4138,3,1,1
-65.24400329589844,710,34,2,4135,3,1,1
-65.24400329589844,728,34,3,4132,3,1,1
-65.24400329589844,711,33,1,4130,4,1,1
-65.24400329589844,701,20,34,4131,4,1,1
-65.24400329589844,697,20,33,4131,4,1,1
-65.24400329589844,675,20,32,4186,4,1,1
-65.24400329589844,686,17,34,4177,4,1,1
-65.24400329589844,694,17,33,4165,4,1,1
-65.24400329589844,705,17,32,4157,4,1,1
-65.24400329589844,677,39,44,4153,4,1,1
-65.24400329589844,696,39,43,4147,4,1,1
-65.24400329589844,707,39,42,4145,4,1,1
-65.24400329589844,680,23,34,4139,4,1,1
-65.24400329589844,689,18,33,4125,4,1,1
